cpu_id,name,brand,socket,cores,threads,base_clock_ghz,boost_clock_ghz,tdp_watts,integrated_graphics,price_usd
CPU1,Ryzen 5 5600X,AMD,AM4,6,12,3.7,4.6,65,No,180
CPU2,Ryzen 7 5800X,AMD,AM4,8,16,3.8,4.7,105,No,300
CPU3,Ryzen 9 5900X,AMD,AM4,12,24,3.7,4.8,105,No,420
CPU4,Ryzen 5 7600X,AMD,AM5,6,12,4.7,5.3,105,Yes,250
CPU5,Ryzen 7 7700X,AMD,AM5,8,16,4.5,5.4,105,Yes,350
CPU6,Ryzen 9 7900X,AMD,AM5,12,24,4.7,5.6,170,Yes,500
CPU7,Core i5-12400F,Intel,LGA1700,6,12,2.5,4.4,65,No,170
CPU8,Core i5-12600K,Intel,LGA1700,10,16,3.7,4.9,125,Yes,260
CPU9,Core i7-12700K,Intel,LGA1700,12,20,3.6,5,125,Yes,380
CPU10,Core i9-12900K,Intel,LGA1700,16,24,3.2,5.2,125,Yes,550
CPU11,Core i5-13400F,Intel,LGA1700,10,16,2.5,4.6,65,No,210
CPU12,Core i7-13700K,Intel,LGA1700,16,24,3.4,5.4,125,Yes,420
CPU13,Core i9-13900K,Intel,LGA1700,24,32,3,5.8,125,Yes,600
CPU14,Ryzen 5 5500,AMD,AM4,6,12,3.6,4.2,65,No,130
CPU15,Core i3-12100F,Intel,LGA1700,4,8,3.3,4.3,58,No,110
CPU16,Ryzen 7 5700X,AMD,AM4,8,16,3.4,4.6,65,No,280
CPU17,Ryzen 9 5950X,AMD,AM4,16,32,3.4,4.9,105,No,520
