gpu_id,name,brand,vram_gb,tdp_watts,pcie_version,price_usd
GPU1,RTX 3060,NVIDIA,12,170,4,330
GPU2,RTX 3060 Ti,NVIDIA,8,200,4,400
GPU3,RTX 3070,NVIDIA,8,220,4,500
GPU4,RTX 3080,NVIDIA,10,320,4,700
GPU5,RTX 3090,NVIDIA,24,350,4,1200
GPU6,RTX 4060,NVIDIA,8,115,4,300
GPU7,RTX 4070,NVIDIA,12,200,4,600
GPU8,RTX 4080,NVIDIA,16,320,4,1200
GPU9,RX 6600,AMD,8,132,4,250
GPU10,RX 6700 XT,AMD,12,230,4,380
GPU11,RX 6800 XT,AMD,16,300,4,650
GPU12,RX 6900 XT,AMD,16,300,4,700
GPU13,RX 7600,AMD,8,165,4,270
GPU14,RX 7900 XTX,AMD,24,355,4,950
