mb_id,name,socket,chipset,ram_type,ram_slots,max_ram_gb,pcie_version,form_factor,m2_slots,sata_ports,nvme_support,max_pcie_storage_gen,price_usd
MB1,ASUS B550M-A,AM4,B550,DDR4,4,128,4,mATX,2,6,Yes,4,120
MB2,MSI B550 Tomahawk,AM4,B550,DDR4,4,128,4,ATX,2,6,Yes,4,160
MB3,Gigabyte X570 Aorus Elite,AM4,X570,DDR4,4,128,4,ATX,3,6,Yes,4,200
MB4,ASRock B450M Steel Legend,AM4,B450,DDR4,4,64,3,mATX,1,4,Yes,3,90
MB5,ASUS X670E Hero,AM5,X670E,DDR5,4,128,5,ATX,4,6,Yes,5,450
MB6,MSI B650M Mortar,AM5,B650,DDR5,4,128,5,mATX,2,6,Yes,5,220
MB7,Gigabyte B650 Aorus Elite,AM5,B650,DDR5,4,128,5,ATX,3,6,Yes,5,230
MB8,ASRock B650 Pro RS,AM5,B650,DDR5,4,128,5,ATX,3,6,Yes,5,210
MB9,ASUS ROG Z790-E,LGA1700,Z790,DDR5,4,128,5,ATX,5,4,Yes,5,480
MB10,MSI PRO Z790-P,LGA1700,Z790,DDR5,4,128,5,ATX,4,6,Yes,5,240
MB11,Gigabyte Z790 UD,LGA1700,Z790,DDR5,4,128,5,ATX,3,6,Yes,5,200
MB12,ASRock Z790 Steel Legend,LGA1700,Z790,DDR5,4,128,5,ATX,5,8,Yes,5,280
MB13,ASUS Prime B760M-A,LGA1700,B760,DDR5,4,128,4,mATX,2,4,Yes,4,160
MB14,MSI MAG B760 Tomahawk,LGA1700,B760,DDR5,4,128,5,ATX,3,4,Yes,4,200
